RBC,PO2,HBsat
O2transport_init, 4.9e15, 1.1467116e-03, 7.6364383e-01
co2transport_init, 0.05004034, 0.02960993, 0.78838485, 0.09752594, 0.04786631

type,ID,name,start_node,end_node,start_diameter[SI],end_diameter[SI],start_thickness[SI],end_thickness[SI],length[SI],division_points,elastance_1[SI],res_start[SI],res_end[SI],visc_fact[1],k1[SI],k2[SI],k3[SI]
vis_f,280,L.labyrinthinev.I,p42,n54,0.00074,0.00074,0.000074,0.000074,0.0086,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,291,R.Inf.vermianvein,p32,n55,0.0018,0.0018,0.00018,0.00018,0.02,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,292,L.Inf.vermianvein,p37,n56,0.0018,0.0018,0.00018,0.00018,0.02,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,297,Cerebralvein,p29, n102,0.00618,0.0072,0.000618,0.00072,0.01,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,298,R.Sup.petrosalvein,p33,n93,0.0016,0.0016,0.00016,0.00016,0.02,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,299,L.Sup.petrosalvein,p36,n94,0.0016,0.0016,0.00016,0.00016,0.02,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,302,R.Sup.petrosalsinusII,n91,n93,0.00298,0.00298,0.000298,0.000298,0.02,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,303,L.Sup.petrosalsinusII,n92,n94,0.00298,0.00298,0.000298,0.000298,0.02,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,304,Hepaticv.,p18,n103,0.0097,0.0097,0.00097,0.00097,0.01,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,305,Gastricvein,p19,n103,0.0055,0.0055,0.00055,0.00055,0.71,7,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,306,Splenicvein,p20,n103,0.00645,0.00645,0.000645,0.000645,0.63,7,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,307,Sup.mesentericvein,p22,n103,0.012,0.012,0.0012,0.0012,0.59,6,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,308,Coronary sinus,n104,H,0.01,0.01,0.001,0.001,0.0005,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,309,Coronary sinus,n105,n104,0.01,0.01,0.001,0.001,0.0035,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,310,Greatcardiacv.,p3,n105,0.00276,0.00276,0.000276,0.000276,0.067,7,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,311,Middlecardiacv.,p2,n104,0.00257,0.00257,0.000257,0.000257,0.075,7,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,312,Smallcardiacv.,p1,n104,0.001,0.001,0.0001,0.0001,0.054,6,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,313,Hepaticv.,n106,n103,0.0097,0.0097,0.00097,0.00097,0.04533,6,1.e4,0,0,2.75,2.e5,-2253.,8.65e3

type,ID,name,valami,parameter,file name
heart,H,0
node,n1,0,0
node,n2,0,0
node,n3,0,0
node,n4,0,0
node,n5,0,0
node,n6,0,0
node,n7,0,0,,,diode
node,n8,0,0,,,diode
node,n9,0,0
node,n10,0,0
node,n11,0,0
node,n12,0,0
node,n13,0,0
node,n14,0,0
node,n15,0,0
node,n16,0,0
node,n17,0,0
node,n18,0,0
node,n19,0,0
node,n20,0,0
node,n21,0,0
node,n22,0,0
node,n23,0,0
node,n24,0,0,,,diode
node,n25,0,0,,,diode
node,n26,0,0,,,diode
node,n27,0,0,,,diode
node,n28,0,0
node,n29,0,0
node,n30,0,0,,,diode
node,n31,0,0,,,diode
node,n32,0,0
node,n33,0,0
node,n34,0,0,,,diode
node,n35,0,0,,,diode
node,n36,0,0,,,diode
node,n37,0,0,,,diode
node,n38,0,0
node,n39,0,0
node,n40,0,0,,,diode
node,n41,0,0,,,diode
node,n42,0,0,,,diode
node,n43,0,0
node,n44,0,0
node,n45,0,0
node,n46,0,0
node,n47,0,0
node,n48,0,0
node,n49,0,0
node,n50,0,0
node,n51,0,0
node,n52,0,0
node,n53,0,0
node,n54,0,0
node,n55,0,0
node,n56,0,0
node,n57,0,0
node,n58,0,0
node,n59,0,0
node,n60,0,0
node,n61,0,0
node,n62,0,0
node,n63,0,0
node,n64,0,0
node,n65,0,0
node,n66,0,0
node,n67,0,0
node,n68,0,0
node,n69,0,0
node,n70,0,0
node,n71,0,0
node,n72,0,0
node,n73,0,0,,,diode
node,n74,0,0,,,diode
node,n75,0,0
node,n76,0,0
node,n77,0,0
node,n78,0,0
node,n79,0,0
node,n80,0,0
node,n81,0,0
node,n82,0,0
node,n83,0,0
node,n84,0,0
node,n85,0,0
node,n86,0,0
node,n87,0,0
node,n88,0,0
node,n89,0,0
node,n90,0,0
node,n91,0,0
node,n92,0,0
node,n93,0,0
node,n94,0,0
node,n95,0,0
node,n96,0,0
node,n97,0,0
node,n98,0,0
node,n99,0,0
node,n100,0,0
node,n101,0,0
node,n102,0,0
node,n103,0,0
node,n104,0,0
node,n105,0,0
node,n106,0,0
perif,p1,0
perif,p2,0
perif,p3,0
perif,p4,0
perif,p5,0
perif,p6,0
perif,p7,0
perif,p8,0
perif,p9,0
perif,p10,0
perif,p11,0
perif,p12,0
perif,p13,0
perif,p14,0
perif,p15,0
perif,p16,0
perif,p17,0
perif,p18,0
perif,p19,0
perif,p20,0
perif,p21,0
perif,p22,0
perif,p23,0
perif,p24,0
perif,p25,0
perif,p26,0
perif,p27,0
perif,p28,0
perif,p29,0
perif,p30,0
perif,p31,0
perif,p32,0
perif,p33,0
perif,p34,0
perif,p35,0
perif,p36,0
perif,p37,0
perif,p38,0
perif,p39,0
perif,p40,0
perif,p41,0
perif,p42,0
perif,p43,0
perif,p44,0
perif,p45,0
perif,p46,0
perif,p47,0
