RBC,PO2,HBsat
O2transport_init, 4.9e15, 1.1467116e-03, 7.6364383e-01
co2transport_init, 0.05004034, 0.02960993, 0.78838485, 0.09752594, 0.04786631

type,ID,name,start_node,end_node,start_diameter[SI],end_diameter[SI],start_thickness[SI],end_thickness[SI],length[SI],division_points,elastance_1[SI],res_start[SI],res_end[SI],visc_fact[1],k1[SI],k2[SI],k3[SI]
vis_f,126,L.com.facialv.,n80,n48,0.0036,0.0036,0.00036,0.00036,0.009,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,127,R.superf.temp.v.,p28,n81,0.0038,0.0038,0.00038,0.00038,0.05,6,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,128,L.superf.temp.v.,p41,n82,0.0038,0.0038,0.00038,0.00038,0.05,6,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,129,R.maxillaryv.,n97,n81,0.0035,0.0035,0.00035,0.00035,0.01,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,130,L.maxillaryv.,n98,n82,0.0035,0.0035,0.00035,0.00035,0.01,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,131,R.deepfacialv.,n97,n99,0.005,0.005,0.0005,0.0005,0.009,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,132,L.deepfacialv.,n98,n100,0.005,0.005,0.0005,0.0005,0.009,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,133,R.emissaryv.,n95,n91,0.002,0.002,0.0002,0.0002,0.03,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,134,L.emissaryv.,n96,n92,0.002,0.002,0.0002,0.0002,0.03,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,135,R.pterygoidplexus,n97,n95,0.003,0.003,0.0003,0.0003,0.009,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,136,L.pterygoidplexus,n98,n96,0.003,0.003,0.0003,0.0003,0.009,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,137,R.marginalsinus,n67,n87,0.002,0.002,0.0002,0.0002,0.04,6,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,138,L.marginalsinus,n67,n88,0.002,0.002,0.0002,0.0002,0.04,6,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,139,Occipittalsinus,n58,n67,0.0047,0.0047,0.00047,0.00047,0.035,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,140,R.ext.jugularv.,n73,n5,0.00504,0.00504,0.000504,0.000504,0.1,9,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,141,R.mastoidemissaryv.,n87,n53,0.0035,0.0035,0.00035,0.00035,0.072,7,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,142,L.mastoidemissaryv.,n88,n54,0.0035,0.0035,0.00035,0.00035,0.072,7,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,143,R.post.condylarv.,n87,n51,0.0063,0.0063,0.00063,0.00063,0.03,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,144,L.post.condylarv.,n88,n52,0.0063,0.0063,0.00063,0.00063,0.03,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,145,R.subocc.sinus,n87,n85,0.009,0.009,0.0009,0.0009,0.01,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,146,R.lat.ant.condylarv.,n85,n49,0.0063,0.0063,0.00063,0.00063,0.03,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,147,L.lat.ant.condylarv.,n86,n50,0.0063,0.0063,0.00063,0.00063,0.03,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,148,L.ext.jugularv.,n74,n6,0.00608,0.00714,0.000608,0.000714,0.1,9,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,149,Sup.sagittalsinus,n70,n68,0.00458,0.00516,0.000458,0.000516,0.0433,6,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,150,R.Labbev.,p46,n55,0.003,0.003,0.0003,0.0003,0.05,6,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,151,L.Labbev.,p45,n56,0.003,0.003,0.0003,0.0003,0.05,6,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,152,Sup.sagittalsinus,n68,n66,0.00516,0.00574,0.000516,0.000574,0.0433,6,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,153,Sup.sagittalsinus,n62,n60,0.00668,0.007,0.000668,0.0007,0.025,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,154,L.cavernoussinus,n92,n90,0.002,0.002,0.0002,0.0002,0.015,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,155,R.cavernoussinus,n91,n89,0.002,0.002,0.0002,0.0002,0.015,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,156,Occipittalv.,n58,n69,0.00252,0.00252,0.000252,0.000252,0.05,6,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,157,Sup.sagittalsinus,n64,n62,0.006,0.00668,0.0006,0.000668,0.05,6,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,158,Cerebralvein,p40,n72,0.003,0.003,0.0003,0.0003,0.06,7,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,160,Azygosv.,n40,n1,0.0085,0.0085,0.00085,0.00085,0.02,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,162,Cerebralvein,p39,n66,0.003,0.003,0.0003,0.0003,0.06,7,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,163,R.vertebralv.,n83,n3,0.0032,0.0032,0.00032,0.00032,0.05,6,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,164,L.vertebralv.,n84,n4,0.0032,0.0032,0.00032,0.00032,0.05,6,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,165,Sup.sagittalsinus,n72,n70,0.004,0.00458,0.0004,0.000458,0.0433,6,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,166,L.subocc.sinus,n88,n86,0.009,0.009,0.0009,0.0009,0.01,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,167,R.anastomoticv.,n69,n85,0.002,0.002,0.0002,0.0002,0.02,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,168,L.anastomoticv.,n69,n86,0.002,0.002,0.0002,0.0002,0.02,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,171,R.greatsaphenousv.,n25,n23,0.00443,0.0046,0.000443,0.00046,0.075,7,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,172,L.greatsaphenousv.,n24,n22,0.00443,0.0046,0.000443,0.00046,0.075,7,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,173,L.post.tibialv.,n36,n32,0.003,0.003,0.0003,0.0003,0.173,12,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,174,L.ant.tibialv.,n34,n32,0.003,0.003,0.0003,0.0003,0.16,12,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,175,R.poplitealv.,n33,n31,0.0068,0.0068,0.00068,0.00068,0.19,13,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,176,L.poplitealv.,n32,n30,0.0068,0.0068,0.00068,0.00068,0.19,13,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,177,L.femoralv.,n30,n22,0.007,0.007,0.0007,0.0007,0.254,16,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,178,R.femoralv.,n31,n23,0.007,0.007,0.0007,0.0007,0.254,16,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,179,R.deepfemoralv.,p8,n23,0.007,0.007,0.0007,0.0007,0.126,10,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,180,L.deepfemoralv.,p12,n22,0.007,0.007,0.0007,0.0007,0.126,10,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
