type,ID,name,start_node,end_node,start_diameter[SI],end_diameter[SI],start_thickness[SI],end_thickness[SI],length[SI],division_points,elastance_1[SI],elastance_2[SI],eta[SI],res_start[SI],res_end[SI]
vis,A01,A01,C,4a,0.026,0.026,0.0026,0.0026,0.10919367,7,2.66E+05,4.83E+05,1.30E+04,0,0
vis,A02,A02,4a,31a,0.019,0.019,0.0019,0.0019,0.207987943,12,2.89E+05,5.26E+05,1.30E+04,0,0
vis,B03,B03,31a,32p,0.004,0.004,0.0004,0.0004,0.07279578,4,3.03E+05,5.51E+05,1.30E+04,0,0
vis,B04,B04,31a,23a,0.018,0.018,0.0018,0.0018,0.051996986,3,2.99E+05,5.43E+05,1.30E+04,0,0
vis,A03,A03,3a,4p,0.003,0.003,0.0003,0.0003,0.155990957,9,3.44E+05,6.26E+05,1.30E+04,0,0
vis,A04,A04,23a,20a,0.015,0.015,0.0015,0.0015,0.051996986,3,3.10E+05,5.64E+05,1.30E+04,0,0
vis,A05,A05,3a,3p,0.003,0.003,0.0003,0.0003,0.076474164,7,7.66E+05,1.39E+06,1.30E+04,0,0
vis,A06,A06,23a,5p,0.005,0.005,0.0005,0.0005,0.033278071,2,3.06E+05,5.56E+05,1.30E+04,0,0
vis,A07,A07,23a,6p,0.005,0.005,0.0005,0.0005,0.033278071,2,3.06E+05,5.56E+05,1.30E+04,0,0
vis,A08,A08,3a,13a,0.006,0.006,0.0006,0.0006,0.107094134,6,3.17E+05,5.77E+05,1.30E+04,0,0
vis,A10,A10,13a,7p,0.003,0.003,0.0003,0.0003,0.160641201,8,4.18E+05,7.61E+05,1.30E+04,0,0
vis,A11,A11,13a,14a,0.005,0.005,0.0005,0.0005,0.267735334,12,5.25E+05,9.55E+05,1.30E+04,0,0
vis,A12p,A12p,14a,rj,0.0032,0.0032,0.00032,0.00032,0.203478854,8,8.49E+05,1.54E+06,1.30E+04,0,0
vis,A12d,A12d,rj,10p,0.0032,0.0032,0.00032,0.00032,0.053547067,2,9.68E+05,1.76E+06,1.30E+04,0,0
vis,A13,A13,14a,15a,0.0035,0.0035,0.00035,0.00035,0.03212824,2,5.64E+05,1.03E+06,1.30E+04,0,0
vis,A14,A14,15a,8p,0.0018,0.0018,0.00018,0.00018,0.084604366,4,6.88E+05,1.25E+06,1.30E+04,0,0
vis,A15,A15,15a,9p,0.0035,0.0035,0.00035,0.00035,0.182060027,7,8.71E+05,1.59E+06,1.30E+04,0,0
vis,A16,A16,4a,3a,0.0124,0.0124,0.00124,0.00124,0.036412005,2,2.80E+05,5.10E+05,1.30E+04,0,0
vis,A17p,A17p,3a,cj,0.0074,0.0074,0.00074,0.00074,0.03100304,3,4.72E+05,8.58E+05,1.30E+04,0,0
vis,A17d,A17d,cj,1a,0.007,0.007,0.0007,0.0007,0.01550152,2,5.52E+05,1.01E+06,1.30E+04,0,0
vis,A18,A18,1a,2p,0.0035,0.0035,0.00035,0.00035,0.051671733,4,9.78E+05,1.78E+06,1.30E+04,0,0
vis,A19,A19,1a,1p,0.004,0.004,0.0004,0.0004,0.051671733,4,9.78E+05,1.78E+06,1.30E+04,0,0
vis,A20,A20,2a,11p,0.004,0.004,0.0004,0.0004,0.051671733,4,8.02E+05,1.46E+06,1.30E+04,0,0
vis,A21,A21,2a,12p,0.0035,0.0035,0.00035,0.00035,0.051671733,4,8.02E+05,1.46E+06,1.30E+04,0,0
vis,A22p,A22p,4a,cb,0.0074,0.0074,0.00074,0.00074,0.01550152,2,3.51E+05,6.39E+05,1.30E+04,0,0
