data of edges
type, name, node start, node end, initial condition, parameter [SI], parameter [SI]

Left Ventrice
//vfr, Q_in, gvfr, p_LA3, 0.000e+00, 0.000e+00, MV_flow_2

voltage, PLA, G, left-atrium, 0.000e+00, 1.005e+03
diode, D-mitral, left-atrium, p_LA3, 0.000e+00, 1.387e+06

elastance, E_lv, g0, p_LA3, 0.000e+00, 2.67e+08, 8.0e+06
inductor, L_lv_aorta, p_LA3, p_LV1, 0.000e+00, 6.50e+04
diode, R_lv_aorta, p_LV1, H, 0.000e+00, 1.00e+06

Common carotid dextra
resistor, R_CCD, n6, n60032, 0.00e+00, 1.56e+06
inductor, L_CCD, n60032, n32, 0.00e+00, 1.34e+06
capacitor, C_CCD, g1, n6, 0.00e+00, 1.15E-10

Vertebral dextra
resistor, R_VERTD, n7, n70031, 0.00e+00, 1.84e+08
inductor, L_VERTD, n70031, n31, 0.00e+00, 1.93e+07
capacitor, C_VERTD, g1, n7, 0.00e+00, 9.50E-12

Internal carotid dextra
resistor, R_ICD, n32, n320046, 0.00e+00, 3.92e+07
inductor, L_ICD, n320046, n46, 0.00e+00, 9.76e+06
capacitor, C_ICD, g1, n32, 0.00e+00, 3.47E-11

External carotid 1 dextra
resistor, R_EC1D, n32, n320033, 0.00e+00, 1.05e+07
inductor, L_EC1D, n320033, n33, 0.00e+00, 2.45e+06
capacitor, C_EC1D, g1, n32, 0.00e+00, 7.01E-12

Common carotid sinistra
resistor, R_CCS, n3, n30026, 0.00e+00, 4.03e+06
inductor, L_CCS, n30026, n26, 0.00e+00, 2.59e+06
capacitor, C_CCS, g1, n3, 0.00e+00, 1.22E-10

Internal carotid sinistra
resistor, R_ICS, n26, n260037, 0.00e+00, 4.97e+07
inductor, L_ICS, n260037, n37, 0.00e+00, 1.10e+07
capacitor, C_ICS, g1, n26, 0.00e+00, 2.96E-11

External carotid 1 sinistra
resistor, R_EC1S, n26, n260027, 0.00e+00, 1.30e+07
inductor, L_EC1S, n260027, n27, 0.00e+00, 2.73e+06
capacitor, C_EC1S, g1, n26, 0.00e+00, 6.09E-12

Basilar artery 2
resistor, R_BA2, n31, n310050, 0.00e+00, 1.25e+07
inductor, L_BA2, n310050, n50, 0.00e+00, 1.87e+06
capacitor, C_BA2, g1, n31, 0.00e+00, 1.92E-12

