data of edges
type,name,node start,node end,initial condition,parameter [SI],parameter [SI]

Common carotid dextra
Sup. thy. asc. ph. lyng. fac. occ. dextra
resistor,R_STAPLD,n33,p44,0.00E+00,3.80E+09
capacitor,C_STAPLD,g1,n33,0.00E+00,8.41E-13

External carotid 2 sinistra
resistor,R_EC2S,n27,n28,0.00E+00,4.04E+07
capacitor,C_EC2S,g1,n27,0.00E+00,5.65E-12

Sup. thy. asc. ph. lyng. fac. occ. sinistra
resistor,R_STAPLS,n27,p25,0.00E+00,3.80E+09
capacitor,C_STAPLS,g1,n27,0.00E+00,8.41E-13

Superficial temporal dextra
resistor,R_SFTD,n34,n35,0.00E+00,8.55E+07
capacitor,C_SFTD,g1,n34,0.00E+00,3.45E-12

Maxillary dextra
resistor,R_MAXD,n34,p43,0.00E+00,2.95E+09
capacitor,C_MAXD,g1,n34,0.00E+00,8.92E-13

Superficial temporal sinistra
resistor,R_SFTS,n28,n29,0.00E+00,8.55E+07
capacitor,C_SFTS,g1,n28,0.00E+00,3.45E-12

Maxillary sinistra
resistor,R_MAXS,n28,p26,0.00E+00,2.95E+09
capacitor,C_MAXS,g1,n28,0.00E+00,8.92E-13

Superficial temporal frontal br. dextra
resistor,R_STFD,n35,p41,0.00E+00,1.45E+09
capacitor,C_STFD,g1,n35,0.00E+00,1.36E-12

Superficial temporal parietal br. dextra
resistor,R_STPD,n35,p42,0.00E+00,1.47E+09
capacitor,C_STPD,g1,n35,0.00E+00,1.37E-12

Superficial temporal frontal br. sinistra
resistor,R_STFS,n29,p28,0.00E+00,1.45E+09
capacitor,C_STFS,g1,n29,0.00E+00,1.36E-12

Superficial temporal parietal br. sinistra
resistor,R_STPS,n29,p27,0.00E+00,1.47E+09
capacitor,C_STPS,g1,n29,0.00E+00,1.37E-12

Ant. choroidal dextra
resistor,R_ACHD,n44,p45,0.00E+00,1.23E+09
capacitor,C_ACHD,g1,n44,0.00E+00,2.54E-13

ICA distal cnt. chor.M1 seg.  dextra
resistor,R_ICADCCSD,n44,n43,0.00E+00,1.24E+06
capacitor,C_ICADCCSD,g1,n44,0.00E+00,1.92E-13

Ant. choroidal sinistra
resistor,R_ACHS,n39,p46,0.00E+00,1.23E+09
capacitor,C_ACHS,g1,n39,0.00E+00,2.54E-13

ICA distal cnt. chor.M1 seg.  sinistra
resistor,R_ICADCCSS,n39,n40,0.00E+00,1.24E+06
capacitor,C_ICADCCSS,g1,n39,0.00E+00,1.92E-13

Vertebral sinistra
resistor,R_VERTS,n10,n31,0.00E+00,1.82E+08
capacitor,C_VERTS,g1,n10,0.00E+00,9.44E-12

Ascending aorta 1
resistor,R_ASC1,H,n1,0.00E+00,8.69E+02
capacitor,C_ASC1,g1,H,0.00E+00,8.69E-11

