     A17, 1.0971628e+05, 1.0971291e+05, 5.1297289e-02, 5.5389269e-02,  4.1490138e-03, 3.7952296e-03, 5.5728706e-02, 5.5696700e-02, 2.5402927e-02, 2.5387660e-02, 1.2991173e+01, 1.2992130e+01
     A14, 1.0971250e+05, 1.0970635e+05, -2.9362266e-02, -1.8381260e-02,  2.2404813e-02, 2.1777017e-02, 1.8168845e-01, 1.8160698e-01, 6.3412970e-02, 6.3374480e-02, 7.2841092e+00, 7.2826936e+00
     A18, 1.0970364e+05, 1.0969959e+05, -2.4261612e-02, -1.0237857e-02,  2.0791026e-02, 1.9652531e-02, 1.7330846e-01, 1.7328540e-01, 5.9863047e-02, 5.9860838e-02, 7.3883443e+00, 7.3873531e+00
     A26, 1.0970174e+05, 1.0970125e+05, -7.2216105e-03, 9.1930187e-03,  1.2559717e-02, 9.4740124e-03, 1.2542264e-01, 1.2544695e-01, 4.0825345e-02, 4.0837223e-02, 8.2452266e+00, 8.2445727e+00
     A27, 1.0970189e+05, 1.0969531e+05, -1.0263981e-02, 1.4008991e-02,  1.6779328e-02, 1.3116793e-02, 1.4769687e-01, 1.4757597e-01, 4.9497077e-02, 4.9444953e-02, 7.7880201e+00, 7.7873799e+00
     A28, 1.0968953e+05, 1.0968972e+05, 1.0842107e-02, 2.1739366e-02,  1.2252602e-02, 1.2252475e-02, 1.3345067e-01, 1.3343899e-01, 4.3906996e-02, 4.3893230e-02, 8.0604419e+00, 8.0603589e+00
     A29, 1.0968927e+05, 1.0968818e+05, 1.2380544e-02, 1.5647755e-02,  7.5987384e-03, 6.7213264e-03, 9.9354507e-02, 9.9333727e-02, 3.1284355e-02, 3.1277838e-02, 8.9925139e+00, 8.9927914e+00
     A30, 1.0968849e+05, 1.0968620e+05, 1.8477566e-02, 2.1154914e-02,  4.9743595e-03, 4.6871642e-03, 7.9505091e-02, 7.9494295e-02, 2.4365385e-02, 2.4362462e-02, 9.8241958e+00, 9.8236484e+00
     A31, 1.0968534e+05, 1.0968168e+05, 9.4142309e-03, 1.7886872e-02,  5.1566321e-03, 4.2017178e-03, 7.7666051e-02, 7.7639854e-02, 2.3749041e-02, 2.3741011e-02, 9.9175552e+00, 9.9171278e+00
     A32, 1.0969128e+05, 1.0967570e+05, 1.9793151e-02, 2.6720501e-02,  3.0035513e-03, 2.8147536e-03, 5.9080165e-02, 5.8974283e-02, 1.7600069e-02, 1.7566547e-02, 1.1127052e+01, 1.1126760e+01
     A33, 1.0968690e+05, 1.0968200e+05, 9.0489558e-03, 1.6272444e-02,  3.9804380e-03, 3.6958733e-03, 6.9435262e-02, 6.9407783e-02, 2.0959155e-02, 2.0950399e-02, 1.0385390e+01, 1.0384518e+01
     A34, 1.0969109e+05, 1.0968872e+05, 1.6512349e-02, 2.5755245e-02,  7.7034800e-03, 6.9230282e-03, 1.0049714e-01, 1.0046546e-01, 3.1637518e-02, 3.1627842e-02, 8.9501473e+00, 8.9502466e+00
     A35, 1.0969291e+05, 1.0969410e+05, 1.6761872e-02, 2.0690201e-02,  1.1499242e-02, 1.1295109e-02, 1.2848302e-01, 1.2838249e-01, 4.2026303e-02, 4.1983477e-02, 8.1723192e+00, 8.1748957e+00
     A36, 1.0969064e+05, 1.0969152e+05, -1.2771378e-02, -8.7429540e-03,  4.9808201e-03, 4.9808596e-03, 8.0907130e-02, 8.0915710e-02, 2.4789913e-02, 2.4793463e-02, 9.7510983e+00, 9.7511757e+00
     A38, 1.0969589e+05, 1.0969197e+05, 3.7181120e-02, 4.1141004e-02,  4.9810171e-03, 4.9808649e-03, 8.0949882e-02, 8.0916857e-02, 2.4802573e-02, 2.4792027e-02, 9.7514839e+00, 9.7511860e+00
